student_id,full_name,program_type
SV3000,Pham  Thi D,clc
sv3001,Nguyen Van A,chính quy
sv3002,Tran  Thi B,vừa làm vừa học
sv3003,Hoang   Van E,chinh  quy
SV3004,Le   Van  C,liên thông
SV3005,Le   Van  C,lien thong
sv3006,Hoang   Van E,chính quy
sv3007,Nguyen Van A,vua lam  vua hoc
SV3008,Le   Van  C,chính quy
SV3009,Hoang   Van E,chinh quy
SV3010,Nguyen Van A,chính quy
SV3011,Hoang   Van E,liên thông
sv3012,Hoang   Van E,c l c
SV3013,Tran  Thi B,vừa làm vừa học
SV3014,Nguyen Van A,chinh  quy
SV3015,Tran  Thi B,vua lam  vua hoc
SV3016,Pham  Thi D,lien thong
SV3017,Pham  Thi D,clc
sv3018,Le   Van  C,chinh  quy
sv3019,Nguyen Van A,chính quy
SV3020,Nguyen Van A,clc
SV3021,Tran  Thi B,liên thông
SV3022,Le   Van  C,liên thông
SV3023,Pham  Thi D,c l c
SV3024,Le   Van  C,vua lam vua hoc
SV3025,Hoang   Van E,clc
sv3026,Nguyen Van A,c l c
sv3027,Hoang   Van E,chinh  quy
SV3028,Nguyen Van A,chính quy
sv3029,Nguyen Van A,chinh  quy
sv3030,Nguyen Van A,clc
SV3031,Nguyen Van A,vừa làm vừa học
SV3032,Le   Van  C,c l c
SV3033,Hoang   Van E,vua lam vua hoc
SV3034,Nguyen Van A,vừa làm vừa học
SV3035,Nguyen Van A,vừa làm vừa học
sv3036,Le   Van  C,vua lam  vua hoc
sv3037,Le   Van  C,chinh quy
SV3038,Nguyen Van A,lien thong
SV3039,Nguyen Van A,lien thong
SV3040,Le   Van  C,chinh quy
SV3041,Hoang   Van E,vua lam vua hoc
SV3042,Tran  Thi B,c l c
sv3043,Le   Van  C,lien thong
SV3044,Hoang   Van E,lien thong
SV3045,Nguyen Van A,chính quy
SV3046,Pham  Thi D,chinh quy
SV3047,Tran  Thi B,chinh  quy
SV3048,Hoang   Van E,vua lam  vua hoc
SV3049,Nguyen Van A,c l c
SV3050,Hoang   Van E,chính quy
SV3051,Tran  Thi B,vừa làm vừa học
SV3052,Tran  Thi B,clc
SV3053,Pham  Thi D,chinh  quy
SV3054,Le   Van  C,lien thong
sv3055,Le   Van  C,chinh  quy
SV3056,Le   Van  C,chinh quy
SV3057,Nguyen Van A,vua lam vua hoc
SV3058,Pham  Thi D,lien thong
SV3059,Nguyen Van A,vua lam vua hoc
SV3060,Le   Van  C,chinh  quy
SV3061,Le   Van  C,vừa làm vừa học
SV3062,Hoang   Van E,chính quy
sv3063,Hoang   Van E,vua lam  vua hoc
sv3064,Pham  Thi D,c l c
sv3065,Le   Van  C,c l c
SV3066,Hoang   Van E,chinh  quy
sv3067,Nguyen Van A,chính quy
sv3068,Pham  Thi D,vua lam  vua hoc
SV3069,Nguyen Van A,clc
SV3070,Le   Van  C,clc
sv3071,Le   Van  C,vừa làm vừa học
SV3072,Hoang   Van E,vừa làm vừa học
SV3073,Le   Van  C,chinh  quy
sv3074,Nguyen Van A,chinh quy
SV3075,Le   Van  C,chính quy
SV3076,Pham  Thi D,chinh quy
sv3077,Hoang   Van E,liên thông
sv3078,Le   Van  C,vừa làm vừa học
SV3079,Pham  Thi D,c l c
